from_address,f0_,f1_,tx_count
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-11,5749157249723439211.39101862,3652
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-04,13631435898263288009.888751545,1618
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-20,16489072045783256291.730868002,1947
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-23,12753999156778846153.846153846,1248
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-26,17803160611191737288.13559322,1888
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-30,7529216064462227912.932138284,1562
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-07,5658345557902918781.725888325,3152
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-09,6152054270104477611.940298507,2680
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-22,3295656004394318181.818181818,8800
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-03,7424221333179800221.975582686,1802
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-07,9829212285100000000,1700
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-05,7944030007012791572.610985704,1329
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-08,8895955327525000000,2000
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-05,19926921001012203876.525484566,1393
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-14,18048908373663239074.550128535,1556
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-11,12139275425218023255.813953488,2064
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-07,7390977685258500232.883092687,2147
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-29,3953532716652353689.567430025,6288
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-30,5302973125929001453.186630683,4817
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-19,5111845719986905281.536446966,4582
