to_address,f0_,f1_,tx_count
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-11,7737250000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-05,25235000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-23,25909000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-15,26090000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-16,10659000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-15,25953000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-17,25309000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-17,6602000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-31,6552000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-08,5141000000000000000000,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-25,6286000000000000000000,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-30,25128000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-07,16381000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-20,6974000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-04,16293000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-04,19829000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-04,10812500000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-13,10004000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-19,6335500000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-27,5528718396209647691052,9
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-26,5972333333333333333333.333333333,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-28,5152750000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-23,11355000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-11,24329000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-09,85896800000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-03,25139000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-14,23682650000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-28,4296668000000000000000,6
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-12,6392500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-20,25151000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-22,10086500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-12,10440500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-20,25358500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-25,5104765218533625000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-05,15412000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-28,10303000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-12,10240000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-04,6203333333333333333333.333333333,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-21,8219333333333333333333.333333333,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-17,7417400000000000000000,5
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-14,11208000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-03,8787406666666666666666.666666667,6
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-23,27921000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-06,10139500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-14,10157000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-19,12711122550000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-10,5159000000000000000000,5
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-16,15232000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-07,3379033526666666666666.666666667,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-26,14292000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-11,10358500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-15,10000000000000000,110
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-13,13193927019555000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-19,25251500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-15,24827500000000000000000,2
